分野,サービス分類,キーワード,サービス名称,対象者,開始日,終了日,期間備考,無料/有料,導入支援有無,企業等,詳細,発表日付,URL,情報源
食事,現物提供,"食事,全国,個人",天神屋 おにぎり無償配布,小学生,2020/03/07,2020/03/29,"配布は９、１３、１６、１９、２３、２５の各日
【提供終了】",無料,,天神屋 各店舗（サービスエリア店舗を除いた）,"完全無料、受取日指定の完全予約制で「軽食の提供」を行います。
配布は９、１３、１６、１９、２３、２５の各日。サービスエリアの店舗などを除いた１７店で、それぞれの営業開始時間から午後２時までに配布する。",2020/03/05,https://tenjinya.com/news/2170,天神屋公式サイト
食事,場所提供,"食事、自習室,中部,個人",料理（キッズプレート）の提供、自習室の開放,中学生以下,2020/03/10,2020/03/15,※その後は未定,無料,,ぶどうの丘　セノバ店・草薙店,"大人1名につき2名まで無料
3人目からは、680円＋税
NASUBI GROUPプレミアムクラブ会員の方
※当日のご入会でも可

提供するお料理　
小学生　プレートランチ
中学生　カレーランチ
※ドリンクバー付き

ぶどうの丘で食事をされた中学生以下のお子様は、店舗の専用スペースを自習室としてご利用いただけます。
営業時間中は時間制限無しです。
ドリンクバーもご自由にどうぞ。",2020/03/10,https://budou-oka.jp/cenova/news/?CN=292323,ぶどうの丘HP
学習,場所提供,"自習室,学習支援,中部,個人",小学生児童受け入れ,小学生,2020/03/02,2020/03/20,平日午前8時30分～午後6時【提供終了】,有料,,ノビタ ミライノスクール,教室を開放し、小学生児童の受け入れを実施。また、探究学舎の様々な講師が、授業をライブ配信、聴講が可能。,2020/03/01,https://www.novita.jp/news/azukari20200301,ノビタ ミライノスクールHP
託児,場所提供,"児童一時預かり,中部,個人",小学生児童受け入れ,小学生,2020/03/04,2020/03/15,【提供終了】,無料,,一乗寺,主に小学生を対象に、お寺で「臨時の寺子屋」を開設。,2020/03/03,https://www.1-jouji.jp/blog/%e4%b8%80%e4%b9%97%e5%af%ba%e7%81%bd%e5%ae%b3%e5%af%be%e7%ad%96%e6%8e%a8%e9%80%b2%e5%ae%a4/%e3%80%90%e3%80%8c%e8%87%a8%e6%99%82%e3%81%ae%e5%af%ba%e5%ad%90%e5%b1%8b%e3%80%8d%e3%82%92%e9%96%8b%e8%a8%ad%e3%80%91/,一乗寺HP
学習,オンライン,"学習支援,学習教材,全国,個人",Ｚ会の休校支援（無料提供教材）,小学生、中学生、高校生,2020/03/02,未定,,無料,,Z会,PDFをダウンロードして利用。国語、算数、理科のみ,2020/03/02,https://www.zkai.co.jp/muryoukyouzai-el/,Z会HP
食事,現物提供,"食事,全国,個人",持ち帰り弁当,中学生以下の子供がいる家庭,2020/03/09,2020/04/15,お一人様一回３個まで。販売期間を4月15日まで延長,有料,,王将,１つ250円（＋税）電話事前予約または、EPARK予約の注文限定。一部店舗を除く為要確認。,2020/03/09,https://www.ohsho.co.jp/info/2020/39.html,王将フードHP
食事,現物提供,"食事,全国,個人",宅配弁当,満3～18才,2020/03/16,2020/04/20,日替わりで平日5日間お届け,有料,,ワタミ,１つ390円で子供２人以上からのお届け。要予約。上限に達し次第受付終了。サービスエリア内の宅配に限る。,2020/03/09,http://www2.enekoshop.jp/shop/watami-osechi/,ワタミフードHP
遊び,場所提供,"庭園,スポーツ,中部,個人",宿泊者専用施設無料開放,小学生以下と家族,2020/03/10,2020/04/03,10:00-14:00平日限定、雨天利用不可,無料,,焼津グランドホテル,"「森のテラス＆カフェ」
ガーデン、テニスコート・パターゴルフ場など、駐車場無料",2020/03/11,https://www.sn-hotels.com/ygh/cms/wp-content/uploads/2020/03/20200310NewRelease.pdf,焼津グランドホテルHP
託児,場所提供,"フリースペース,学習,遊び,西部,個人",オープンスペースの提供,小学生、中学生,2020/03/03,2020/03/31,平日（水曜日、木曜日を除く）9:00~17:00,500円/1回,,キウイフルーツカントリー,キウイフルーツカントリーの園内をフリースペースとして開放　お子さんを預ける先や遊ぶ場所に困っている方や、勉強できる環境を求めている方にご利用いただければと思います。※同時に10名程度まで受け入れ可能・要申込（利用日前日の17時まで）,2020/03/02,https://kiwicountry.jp/news/20200302/289/,キウイフルーツカントリーHP
食事,現物提供,"食事,伊豆,個人",100円こどもランチ,小学生,2020/03/02,休校期間終了まで,小学校の休校期間の平日11:30~15:00,100円,,開国厨房なみなみ,小学校休校期間の平日にカレーかチャーハンを100円で食べられます。小学生と一緒にくる高校生と中学生は200円で利用可能です。,2020/02/29,https://www.facebook.com/naminami100/photos/a.289471554442268/3018009341588462/?type=3&theater,開国厨房なみなみFacebookページ
食事,現物提供,"食事,おやつ,練り物,中部,個人",練り製品100食分無料配布,小学生以下の子供がいる家庭,2020/03/07,要望によって配布を継続。,本社は水・日曜・祝日休み、さかなセンターの店舗は週末を中心に営業中。,無料,,（株）はの字食品,一口サイズのかまぼこや、ウナギが入ったさつま揚げなど子どもが食べやすい商品100食分を用意　焼津市保福島の本社と焼津市八楠にある焼津さかなセンターにある店舗で、小学生以下の子どもがいる家庭にプレゼント,2020/03/13,https://www.at-s.com/news/article/local/central/746116.html,静岡新聞アットエス
学習,現物提供,"学習支援、歴史,個人",休校の家庭学習に歴史冊子など配布,下田市と賀茂郡内の小中学校、特別支援学校の生徒,2020/03/04,2020/03/19,8時半から17時まで【提供終了】,無料,,下田開国博物館,開国当時の下田の歴史などが書かれた冊子や漢字練習シート・ポストカードなど、自宅での地域学習の参考になるお楽しみセットを配布。配布場所は下田開国博物館併設の地酒と地場産品の店豆州庵。児童生徒本人か保護者のみ受け付ける。,2020/03/04,https://headlines.yahoo.co.jp/hl?a=20200304-00000031-at_s-l22,静岡新聞アットエス
食事,現物提供,"東部,弁当配送,みまもり,個人",みまもり弁当,在宅の子供,2020/03/05,2020/04/04,毎週日曜は定休日,有料,,仕出しおがわ,子供の安否確認付き弁当配送。夕飯も受付中。お子様弁当500円他全5種類、13~18時の間に電話での予約が必要。配送エリアは富士市中心http://fuji-sidasi.com/haitatu.html。,2020/03/05,https://www.facebook.com/shidashiogawa/posts/1278284392367611?hc_location=ufi,Facebook
食事,現物提供,"東部,生活困窮,個人",フードドライブ,"生活にお困りのひとり親家庭,貧困,病気,子供本人,他いろいろな事情でお困りの方",,期限なし,,無料,,パステル・ぴぃす三島ひとり親会,家庭やフードバンク企業から余っている食料品や調理済みの食事、生活必需品、洋服等をお助け隊がお届けします。支援を希望される方もしくは知人でお困りの方がいらしたらご連絡ください。,,https://www.facebook.com/permalink.php?story_fbid=987572558305839&id=394761137586987&hc_location=ufi,Facebook
医療,オンライン,"メンタルヘルス,全国,個人",レジりん通信,"小学生,中学生,高校生",2020/03/11,期限なし,,無料,,静岡大学教育学部 小林朋子研究会,休校中の子供の不安な心の回復力についての養い方の紹介。,2020/03/11,http://tomokoba.mt-100.com/wp-content/uploads/2014/05/%E3%83%AC%E3%82%B7%E3%82%99%E3%82%8A%E3%82%93%E9%80%9A%E4%BF%A1%EF%BC%88%E9%85%8D%E5%B8%83%E7%94%A8%EF%BC%89%E4%BF%AE%E6%AD%A3%E7%89%88.pdf,静岡大学HP　https://www.shizuoka.ac.jp/news/detail.html?CN=6285&fbclid=IwAR1iXxrTG8DqM3FpgqNh8Vs8kEFLQL4TQcT1j18gwKl4ptdxEQwAWzNLGzU
学習,オンライン,"学習教材,全国,個人",すらら,全国の学習塾・スクール,2020/03/05,2020/04/30,申し込みから利用開始、利用期限に制限あり。,無料,,株式会社すららネット,"「すらら」小学生版（算・国）、中学生版（英・数・国）、高校生版（英・数・国）を1ヶ月利用可能。
※テスト機能のひとつであるE-te（定期テスト）は利用不可。ご提供スケジュール
① 本日～3月5日まで申し込み分 →  3月6日利用開始 （利用期限：4月6日）
② 3月6日～10日まで申し込み分 → 3月11日利用開始（利用期限：4月11日）
③ 3月7日～16日まで申し込み分 → 3月17日利用開始（利用期限：4月17日）
※先着50塾となりますので、お申込みが50塾に達した時点で受付終了となります。",,https://jukusurala.jp/supporter/covid-19/,ジチタイワークス
学習,オンライン,"教材配布,コミュニケーションツール,全国,個人",Classi,全国の国立、公立、私立の高校,2020/03/09,2020/04/30,,無料,https://classi.jp/case-study/,Classi株式会社,"「Classi」は、アダプティブラーニング、アクティブ・ラーニング、コミュニケーション、ポートフォリオの４つの視点で“新たな学び”を支援するクラウドサービスです。提供するのは、コミュニケーション機能、Webテスト,EnglishCentralとなります。要申込。",2020/03/09,https://corp.classi.jp/news/1785/,ジチタイワークス
学習,オンライン,"先生向け教育支援ツール,全国,個人",スタディサプリ,環境を構築いただける自治体、学校のみ,2020/03/03,2020/04/30,,無料,,株式会社リクルートマーケティングパートナーズ,"学校および先生方は『スタディサプリfor TEACHERS』を通して、児童・生徒に『スタディサプリ』上の講義動画や確認テストなど家庭学習の範囲・単元の指示、実施状況の確認ができます。また、コミュニケーション機能での連絡・確認事項の一斉・個別での送受信など、休校中の連絡手段としても活用いただけます。高校は100校,小中学校は20自治体が限度。",2020/03/02,http://www.recruit-mp.co.jp/news/release/2020/0302_3843.html,ジチタイワークス
学習,オンライン,"学習教材,全国,個人",Qubena Wiz Lite,対応端末を保有しQubenaWizLiteを今までにご利用になられたことのない方,2020/03/02,2020/04/10,最初に利用を開始してから40日間有効,無料,,株式会社COMPASS,小学算数・中学数学の学習指導要領をカバーする全単元を収録、タブレット端末とインターネット環境があればどこでも学習でき、会員サイトではお子さまの回答数や正答率、各章の達成状況などが確認できます。,2020/03/02,https://qubena.com/blog/pr-2020302/,ジチタイワークス
学習,オンライン,"卒業,新聞",私たちの卒業号外,"個人, 教育機関",2020/03/10,,4月中旬まで利用可能,無料,,静岡新聞社・静岡放送,"「みんなでつくる」この特別号外は、同級生や先輩・後輩、教職員や保護者と思い出を共有するツールになればと、静岡新聞社・静岡放送が初の試みとして企画しました。ＳＢＳアナウンサーからのメッセージ、卒園生・卒業生が生まれた頃の重大ニュースに、皆さんの書き込みや写真が加わって完成します。

　生徒同士作り合い送り合うもよし、先生から教え子に送るもよし。保護者の皆さんから頑張ったお子さまにプレゼントしたり、タイムカプセルに入れたりするのもいいですね。ぜひ、さまざまな形でご活用ください。（静岡新聞社・静岡放送社員一同）

　3/11 update: 当初、小学生版と中学生版でスタートしましたが、幼稚園・保育園の卒園生や高校生向けにもというリクエストをいただいたため、汎用版を追加しました。汎用版の重大ニュース欄には、2019年の静岡県内の主な出来事を掲載しました。",2020/03/13,https://www.at-s.com/news/information/omoide.html,政府版#民間支援情報ナビ
食事,現物提供,"食事,テイクアウト,個人",牛丼テイクアウト割引,12歳以下の子どもテイクアウトでの利用限定,2020/03/10,2020/03/31,【提供終了】,有料,,吉野家,"12歳以下のお子様用のお食事として、テイクアウトでの利用に限り、「牛丼並盛」を通常本体価格352円（税込380円）のところ、本体価格278円（税込300円）で販売いたします。また、他サイズの牛丼については、「牛丼並盛」の差額分と同様、本体価格から74円引きとさせていただきます。
※ご来店のお客様お一人様につき、特別価格の適用は３食までです。
※対象商品は、牛丼（小盛・並盛・アタマの大盛・大盛・特盛・超特盛）のテイクアウトのみとなります。
※一部店舗では、牛丼の価格が異なります。牛丼の価格が異なる店舗一覧 >
※一部店舗では、実施しておりません。",2020/03/09,https://www.yoshinoya.com/campaign/okosama-takeout202003/,吉野家HP
食事,現物提供,"食事,お子様セット,個人",お子様セットメニュー販売,,2020/03/12,2020/03/31,平日限定【提供終了】,有料,,STROKE(ストローク),"お子様セットをご用意させていただきます。

サンドイッチ(ハムチーズサンドorたまごサンド)＋ドリンク=¥100(税込)
日替わりランチボックス=¥200(税込)

サンドイッチはオープンの7:30から販売。
日替わりランチボックスは大体10:30以降からの販売となります。",2020/03/12,https://stroke.amebaownd.com/posts/7900839,STROKE HP
運動,オンライン,"動画,運動,個人",「家でもできる子どもの運動」動画配信,"個人,小学生, 幼児",2020/03/03,,,無料,,子どもの運動の研究者・指導者有志、静岡産業大学スポーツ保育コース学生有志,"子どもの運動の研究者・指導者有志、静岡産業大学スポーツ保育コース学生有志の皆さんで作った動画『家でもできる子どもの運動』が公開されました。幼児から小学校低学年向けと小学校高学年向けの簡単にできるプログラムがアップされています。
YouTube https://www.youtube.com/channel/UC4PJNKQW-CvD3SV0C406Qog/featured",2020/03/03,http://kosodate-net.jp/home-exercise/,"子育て世代応援プロジェクト実行委員会HP
--
静岡新聞https://www.at-s.com/news/article/topics/shizuoka/743998.html"
託児,場所提供,"子供自習室,個人",子供自習室・料理体験教室,小学生,2020/03/18,2020/03/31,毎週月から木曜日,有料,有,喜縁旬菜ZIKAN,"掛川駅前にある『喜縁旬菜ZIKAN』を
子供達の自習、遊び場として
開放させていただきます。",2020/03/13,https://www.facebook.com/photo.php?fbid=2678251185619300&set=a.104044899706621&type=3&theater,Facebook
学習,オンライン,"教材、オンライン学習、学習コンテンツ,個人",学習まんが　日本の歴史　シリーズ全巻無料公開,"小学生, 中学生",2020/03/11,2020/04/12,,無料,無,小学館,"新型コロナウィルス感染症拡大による休校要請を受け、家庭学習を行う小・中・高校生への自宅学習支援として、学習まんが『小学館版学習まんが 少年少女日本の歴史』（全24巻）電子版を無料公開しました。
https://kids-km3.shogakukan.co.jp/

【期間】2020年3月11日(水)〜4月12日（日）",2020/03/11,https://kids-km3.shogakukan.co.jp/,小学館HP
食事,場所提供,"食事,店舗貸し切り, 子供連れ家族, 富士市,個人",子供連れの1家族のみ貸し切りサービス,子供連れの1家族のみ,2020/03/10,,毎週月曜日夜限定,有料,,Shrimps（シュリンプス）,"富士市のエビ料理レストラン
月曜の夜限定で子供連れの１家族のみで利用できる貸し切りサービス。
提供されるのはシチューやオマールエビが家族に１尾付いた全８品の特別専用コースで、３人以上から予約を受け付け貸し切り料はとりません。",2020/03/10,https://www.fnn.jp/posts/2020031000000012SUT,FNN:テレビ静岡ニュース
食事,現物提供,"子どものいる家庭向け,静岡茶,お茶,静岡市,個人",子どものいる家庭にお茶の無料提供,"個人,店舗に来店できる小中高生",2020/03/09,2020/04/18,8時〜16時（定休日（水、日、祝）を除く） ※期間延長,無料,,マルヒデ岩崎製茶,小中高休校への支援として「急須で淹れる無料給茶」を実施。自宅で洗浄した空の耐熱水筒を持参してください。利用方法：店頭での申込により引換パス発券（当日から使用可）,2020/03/13,https://www.facebook.com/maruhideiwazaki/photos/a.537019743024999/2955615681165381/,マルヒデ岩崎製茶Facebook、静岡新聞アットエス
